SRR7079528	M
SRR7079326	F
SRR7079335	F
SRR7079320	M
SRR7079319	F
SRR7079524	F
SRR7079461	M
SRR7079478	M
SRR7079556	M
SRR7079558	M
SRR7079536	M
SRR7079336	F
SRR7079323	F
SRR7079557	F
SRR7079324	M
SRR7079338	F
SRR7079318	F
SRR7079457	M
SRR7079368	F
SRR7079329	F
SRR7079474	M
SRR7079480	M
SRR7079568	M
SRR7079472	F
SRR7079476	M
SRR7079549	F
SRR7079565	M
SRR7079321	F
SRR7079370	F
SRR7079525	F
SRR7079340	F
SRR7079328	M
SRR7079473	F
SRR7079570	F
SRR7079455	F
SRR7079325	M
SRR7079527	M
SRR7079492	M
SRR7079567	M
SRR7079502	F
SRR7079477	F
SRR7079561	F
SRR7079493	F
SRR7079500	F
SRR7079467	F
SRR7079529	F
SRR7079454	M
SRR7079496	M
SRR7079495	F
SRR7079494	F
SRR7079560	M
SRR7079532	M
SRR7079332	F
SRR7079462	M
