SRR7079559	F
SRR7079552	F
SRR7079553	M
SRR7079554	F
SRR7079555	F
SRR7079550	M
SRR7079551	M
SRR7079401	M
SRR7079400	M
SRR7079403	M
SRR7079402	M
SRR7079397	M
SRR7079396	M
SRR7079399	M
SRR7079398	M
SRR7079409	F
SRR7079408	F
SRR7079363	F
SRR7079364	F
SRR7079361	M
SRR7079362	M
SRR7079359	M
SRR7079360	F
SRR7079357	F
SRR7079358	M
SRR7079371	M
SRR7079372	M
SRR7079513	M
SRR7079512	F
SRR7079511	M
SRR7079510	F
SRR7079509	F
SRR7079508	M
SRR7079507	F
SRR7079506	F
SRR7079505	F
SRR7079504	M
SRR7079437	F
SRR7079438	M
SRR7079439	M
SRR7079440	M
SRR7079441	F
SRR7079442	M
SRR7079443	F
SRR7079444	F
SRR7079445	M
SRR7079446	M
SRR7079575	M
SRR7079574	M
SRR7079577	M
SRR7079576	F
SRR7079579	F
SRR7079578	F
SRR7079581	F
SRR7079580	F
SRR7079573	F
SRR7079572	F
SRR7079543	M
SRR7079544	M
SRR7079373	M
SRR7079374	F
SRR7079547	M
SRR7079548	M
SRR7079545	F
SRR7079546	M
SRR7079539	M
SRR7079540	M
SRR7079383	F
SRR7079382	M
SRR7079381	F
SRR7079380	M
SRR7079387	M
SRR7079386	F
SRR7079385	M
SRR7079384	F
SRR7079391	M
SRR7079390	F
SRR7079345	M
SRR7079346	M
SRR7079347	M
SRR7079348	M
SRR7079341	M
SRR7079342	F
SRR7079344	F
SRR7079353	M
SRR7079354	F
SRR7079514	M
SRR7079515	F
SRR7079516	M
SRR7079517	F
SRR7079518	M
SRR7079519	F
SRR7079520	F
SRR7079521	M
SRR7079522	F
SRR7079523	M
SRR7079355	F
SRR7079503	F
SRR7079499	M
SRR7079352	M
SRR7079351	M
SRR7079350	F
SRR7079349	F
SRR7079488	M
SRR7079465	F
SRR7079466	M
SRR7079388	F
SRR7079389	M
SRR7079394	F
SRR7079395	F
SRR7079392	M
SRR7079393	F
SRR7079425	M
SRR7079428	M
SRR7079430	F
SRR7079429	M
SRR7079432	M
SRR7079431	M
SRR7079434	F
SRR7079433	M
SRR7079435	M
SRR7079426	M
SRR7079333	F
SRR7079489	F
SRR7079491	M
SRR7079410	F
SRR7079411	F
SRR7079404	M
SRR7079405	M
SRR7079406	M
SRR7079407	F
SRR7079481	M
SRR7079485	M
SRR7079448	F
SRR7079447	M
SRR7079375	F
SRR7079427	F
SRR7079452	M
SRR7079449	M
SRR7079412	M
SRR7079471	F
